Type,N,Algorithm,Time_ms,CharCmp
NearlySorted,2500,MSDRadixSort,3.59815,0
NearlySorted,2500,MSDRadix+Quick,1.12162,26623
NearlySorted,2600,StdQuickSort,3.32442,124609
NearlySorted,2600,StdMergeSort,2.05602,32832
NearlySorted,2600,3WayQuickSort,2.34921,107284
NearlySorted,2600,StringMergeSort,3.34573,57355
NearlySorted,2600,MSDRadixSort,3.74011,0
NearlySorted,2600,MSDRadix+Quick,1.129,27553
NearlySorted,2700,StdQuickSort,3.3691,131725
NearlySorted,2700,StdMergeSort,2.08583,33852
NearlySorted,2700,3WayQuickSort,2.69089,127088
NearlySorted,2700,StringMergeSort,3.55483,59309
NearlySorted,2700,MSDRadixSort,3.91906,0
NearlySorted,2700,MSDRadix+Quick,1.22906,28750
NearlySorted,2800,StdQuickSort,3.57695,139524
NearlySorted,2800,StdMergeSort,2.24714,35207
NearlySorted,2800,3WayQuickSort,2.95381,139272
NearlySorted,2800,StringMergeSort,3.73857,61913
NearlySorted,2800,MSDRadixSort,4.04942,0
NearlySorted,2800,MSDRadix+Quick,1.21805,29735
NearlySorted,2900,StdQuickSort,3.41668,135941
NearlySorted,2900,StdMergeSort,2.23526,36375
NearlySorted,2900,3WayQuickSort,3.55265,176906
NearlySorted,2900,StringMergeSort,3.7508,64044
NearlySorted,2900,MSDRadixSort,4.17172,0
NearlySorted,2900,MSDRadix+Quick,1.33864,30681
NearlySorted,3000,StdQuickSort,2.73571,103328
NearlySorted,3000,StdMergeSort,2.3836,37881
NearlySorted,3000,3WayQuickSort,4.29617,221054
NearlySorted,3000,StringMergeSort,3.88263,66640
NearlySorted,3000,MSDRadixSort,4.33743,0
NearlySorted,3000,MSDRadix+Quick,1.26197,31764
